,school_name,country
0,Harvard University,United States of America
1,California Institute of Technology,United States of America
2,Massachusetts Institute of Technology,United States of America
3,Stanford University,United States of America
4,Princeton University,United States of America
5,University of Cambridge,United Kingdom
6,University of Oxford,United Kingdom
7,"University of California, Berkeley",United States of America
8,Imperial College London,United Kingdom
9,Yale University,United States of America
10,"University of California, Los Angeles",United States of America
11,University of Chicago,United States of America
12,Johns Hopkins University,United States of America
13,Cornell University,United States of America
14,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland
15,University of Michigan,United States of America
16,University of Toronto,Canada
17,Columbia University,United States of America
18,University of Pennsylvania,United States of America
19,Carnegie Mellon University,United States of America
20,University of Hong Kong,Hong Kong
21,University College London,United Kingdom
22,University of Washington,United States of America
23,Duke University,United States of America
24,Northwestern University,United States of America
25,University of Tokyo,Japan
26,Georgia Institute of Technology,United States of America
27,Pohang University of Science and Technology,South Korea
28,"University of California, Santa Barbara",United States of America
29,University of British Columbia,Canada
30,University of North Carolina at Chapel Hill,United States of America
31,"University of California, San Diego",United States of America
32,University of Illinois at Urbana-Champaign,United States of America
33,National University of Singapore,Singapore
34,McGill University,Canada
35,University of Melbourne,Australia
36,Peking University,China
37,Washington University in St Louis,United States of America
38,École Polytechnique,France
39,University of Edinburgh,United Kingdom
40,Hong Kong University of Science and Technology,Hong Kong
41,École Normale Supérieure,France
42,Australian National University,Australia
43,Karolinska Institute,Sweden
44,University of Göttingen,Germany
45,University of Wisconsin,United States of America
46,Rice University,United States of America
47,École Polytechnique Fédérale de Lausanne,Switzerland
48,"University of California, Irvine",United States of America
49,University of Science and Technology of China,China
50,Vanderbilt University,United States of America
51,University of Minnesota,United States of America
52,Tufts University,United States of America
53,"University of California, Davis",United States of America
54,Brown University,United States of America
55,University of Massachusetts,United States of America
56,Kyoto University,Japan
57,Tsinghua University,China
58,Boston University,United States of America
59,New York University,United States of America
60,Emory University,United States of America
61,LMU Munich,Germany
62,University of Notre Dame,United States of America
63,University of Pittsburgh,United States of America
64,Case Western Reserve University,United States of America
65,Ohio State University,United States of America
66,University of Colorado Boulder,United States of America
67,University of Bristol,United Kingdom
68,"University of California, Santa Cruz",United States of America
69,Yeshiva University,United States of America
70,University of Sydney,Australia
71,University of Virginia,United States of America
72,University of Adelaide,Australia
73,University of Southern California,United States of America
74,William & Mary,United States of America
75,Trinity College Dublin,Republic of Ireland
76,King’s College London,United Kingdom
77,Stony Brook University,United States of America
78,Korea Advanced Institute of Science and Technology (KAIST),South Korea
79,University of Sussex,United Kingdom
80,The University of Queensland,Australia
81,University of York,United Kingdom
82,Heidelberg University,Germany
83,University of Utah,United States of America
84,Durham University,United Kingdom
85,London School of Economics and Political Science,United Kingdom
86,University of Manchester,United Kingdom
87,"Royal Holloway, University of London",United Kingdom
88,Lund University,Sweden
89,University of Southampton,United Kingdom
90,University of Zurich,Switzerland
91,Wake Forest University,United States of America
92,McMaster University,Canada
93,University College Dublin,Republic of Ireland
94,George Washington University,United States of America
95,University of Arizona,United States of America
96,University of Basel,Switzerland
97,"University of Maryland, College Park",United States of America
98,Dartmouth College,United States of America
99,École Normale Supérieure de Lyon,France
100,Technical University of Munich,Germany
101,University of Helsinki,Finland
102,University of St Andrews,United Kingdom
103,Rensselaer Polytechnic Institute,United States of America
104,"Rutgers, the State University of New Jersey",United States of America
105,Purdue University,United States of America
106,National Tsing Hua University,Taiwan
107,University of Cape Town,South Africa
108,Pennsylvania State University,United States of America
109,Seoul National University,South Korea
110,Hong Kong Baptist University,Hong Kong
111,Bilkent University,Turkey
112,Tokyo Institute of Technology,Japan
113,Eindhoven University of Technology,Netherlands
114,National Taiwan University,Taiwan
115,University of Hawai’i at Mānoa,United States of America
116,"University of California, Riverside",United States of America
117,University of Geneva,Switzerland
118,KU Leuven,Belgium
119,Nanjing University,China
120,Queen Mary University of London,United Kingdom
121,Michigan State University,United States of America
122,Technical University of Denmark,Denmark
123,Ghent University,Belgium
124,Lancaster University,United Kingdom
125,Leiden University,Netherlands
126,University of Alberta,Canada
127,University of Glasgow,United Kingdom
128,Stockholm University,Sweden
129,Osaka University,Japan
130,University of Victoria,Canada
131,Tohoku University,Japan
132,University of Freiburg,Germany
133,University of Iowa,United States of America
134,University of Bergen,Norway
135,University of Lausanne,Switzerland
136,University of Sheffield,United Kingdom
137,University of Montreal,Canada
138,VU University Amsterdam,Netherlands
139,Pierre and Marie Curie University,France
140,University of Dundee,United Kingdom
141,University of Barcelona,Spain
142,Utrecht University,Netherlands
143,Wageningen University and Research Center,Netherlands
144,University of Auckland,New Zealand
145,University of Birmingham,United Kingdom
146,Alexandria University,Egypt
147,Uppsala University,Sweden
148,Hong Kong Polytechnic University,Hong Kong
149,University of Aberdeen,United Kingdom
150,Delft University of Technology,Netherlands
151,"Birkbeck, University of London",United Kingdom
152,Newcastle University,United Kingdom
153,University of New South Wales,Australia
154,Pompeu Fabra University,Spain
155,Indiana University,United States of America
156,Iowa State University,United States of America
157,Georgia Health Sciences University,United States of America
158,Erasmus University Rotterdam,Netherlands
159,University of Delaware,United States of America
160,Arizona State University,United States of America
161,Boston College,United States of America
162,National Sun Yat-Sen University,Taiwan
163,Georgetown University,United States of America
164,University of Amsterdam,Netherlands
165,University of Liverpool,United Kingdom
166,Aarhus University,Denmark
167,University of Leeds,United Kingdom
168,University of Würzburg,Germany
169,University of Groningen,Netherlands
170,Sun Yat-sen University,China
171,Goethe University Frankfurt,Germany
172,Bielefeld University,Germany
173,Nanyang Technological University,Singapore
174,University of East Anglia,United Kingdom
175,University of Nottingham,United Kingdom
176,University of Copenhagen,Denmark
177,Humboldt University of Berlin,Germany
178,Monash University,Australia
