,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
0,1,Harvard University,1,100.0,100.0,100.0,100.0,100.0,100.0,72.4,2005
1,2,University of Cambridge,1,73.6,99.8,93.4,53.3,56.6,70.9,66.9,2005
2,3,Stanford University,2,73.4,41.1,72.2,88.5,70.9,72.3,65.0,2005
3,4,"University of California, Berkeley",3,72.8,71.8,76.0,69.4,73.9,72.2,52.7,2005
4,5,Massachusetts Institute of Technology (MIT),4,70.1,74.0,80.6,66.7,65.8,64.3,53.0,2005
5,6,California Institute of Technology,5,67.1,59.2,68.6,59.8,65.8,52.5,100.0,2005
6,7,Columbia University,6,62.3,79.4,60.6,56.1,54.2,69.5,45.4,2005
7,8,Princeton University,7,60.9,63.4,76.8,60.9,48.7,48.5,59.1,2005
8,9,University of Chicago,8,60.1,75.6,81.9,50.3,44.7,56.4,42.2,2005
9,10,University of Oxford,2,59.7,64.3,59.1,48.4,55.6,68.4,53.2,2005
10,11,Yale University,9,56.9,52.1,44.5,60.3,57.2,63.9,49.3,2005
11,12,Cornell University,10,54.6,46.5,52.4,55.0,48.8,66.3,39.8,2005
12,13,"University of California, San Diego",11,51.0,17.7,34.7,59.8,56.5,64.5,46.6,2005
13,14,"University of California, Los Angeles",12,50.6,27.3,32.8,56.7,50.1,75.6,34.3,2005
14,15,University of Pennsylvania,13,50.2,35.5,35.1,56.7,42.9,71.8,39.1,2005
15,16,University of Wisconsin - Madison,14,49.2,43.0,36.3,52.1,46.3,68.7,29.0,2005
16,17,University of Washington,15,48.4,28.8,32.4,53.9,47.1,73.8,27.2,2005
17,18,"University of California, San Francisco",16,47.8,0.0,37.6,55.6,57.9,58.8,45.2,2005
18,19,The Johns Hopkins University,17,46.9,51.4,28.3,41.6,52.2,67.7,24.9,2005
19,20,The University of Tokyo,1,46.7,36.0,14.4,38.5,52.1,86.5,34.7,2005
20,21,University of Michigan - Ann Arbor,18,44.9,43.0,0.0,61.9,43.0,76.5,30.9,2005
21,22,Kyoto University,2,43.8,39.7,34.1,34.2,37.0,72.3,31.1,2005
22,23,"The Imperial College of Science, Technology and Medicine",3,43.7,20.8,38.1,40.8,38.2,64.6,40.3,2005
23,24,University of Toronto,1,43.1,28.1,19.7,39.3,38.9,76.7,41.9,2005
24,25,University of Illinois at Urbana-Champaign,19,42.8,41.6,37.4,44.4,34.1,58.0,26.0,2005
25,26,University College London,4,42.6,30.7,32.9,37.7,41.5,60.5,38.8,2005
26,27,Swiss Federal Institute of Technology Zurich,1,41.7,40.2,37.0,35.1,41.1,43.4,52.4,2005
27,28,Washington University in St. Louis,20,40.7,25.1,26.6,38.5,46.5,53.9,39.9,2005
28,29,New York University,21,38.8,33.8,25.0,43.0,35.3,55.4,26.3,2005
29,30,Rockefeller University,22,38.2,22.6,59.8,28.3,44.1,24.0,35.9,2005
30,31,Northwestern University,23,37.9,21.7,19.3,44.4,33.8,57.6,36.2,2005
31,32,Duke University,24,37.7,20.8,0.0,47.1,45.3,60.8,38.9,2005
32,32,"University of Minnesota, Twin Cities",24,37.7,36.0,0.0,49.7,35.2,68.4,23.8,2005
33,34,"University of California, Santa Barbara",26,36.9,0.0,36.0,42.3,39.0,44.1,35.8,2005
34,35,University of Colorado at Boulder,27,36.3,16.6,29.8,40.8,36.6,46.3,29.5,2005
35,36,The University of Texas at Austin,28,35.5,21.7,17.1,49.1,30.0,54.8,21.7,2005
36,37,University of British Columbia,2,35.4,20.8,19.3,32.4,32.5,60.4,33.9,2005
37,38,The University of Texas Southwestern Medical Center at Dallas,29,34.8,24.3,33.9,31.4,38.2,37.9,31.0,2005
38,39,Pennsylvania State University - University Park,30,33.4,14.0,0.0,45.8,37.9,59.9,24.0,2005
39,39,Vanderbilt University,30,33.4,12.5,30.2,34.2,24.5,49.2,35.6,2005
40,41,"University of California, Davis",32,32.9,0.0,0.0,46.5,34.5,64.0,29.8,2005
41,41,Utrecht University,1,32.9,30.7,21.4,27.2,27.3,55.7,25.9,2005
42,43,"Rutgers, The State University of New Jersey - New Brunswick",33,32.3,15.4,20.4,36.9,32.9,47.1,24.1,2005
43,43,University of Pittsburgh,33,32.3,25.1,0.0,40.1,25.9,64.3,28.2,2005
44,45,Karolinska Institute,1,32.1,30.7,27.8,33.3,19.7,47.3,25.1,2005
45,46,Pierre and Marie  Curie University - Paris 6,1,32.0,35.7,23.9,23.6,24.2,51.2,30.0,2005
46,47,The University of Edinburgh,5,31.8,22.6,17.1,26.1,35.8,49.4,29.9,2005
47,47,"University of California, Irvine",35,31.8,0.0,30.0,32.4,28.5,48.2,31.1,2005
48,47,"University of Maryland, College Park",35,31.8,25.9,0.0,40.8,33.6,54.6,25.6,2005
49,50,University of Southern California,37,31.7,0.0,27.3,37.7,23.6,52.8,25.8,2005
50,51,University of Munich,1,31.4,37.1,21.1,15.7,30.4,51.9,30.0,2005
51,52,Technical University Munich,2,31.3,43.0,24.1,24.8,20.7,46.5,29.2,2005
52,53,The University of Manchester,6,31.2,27.3,19.3,23.6,22.6,57.3,30.4,2005
53,54,Carnegie Mellon University,38,30.8,30.7,33.5,32.4,14.7,38.3,31.4,2005
54,55,University of North Carolina at Chapel Hill,39,30.3,12.5,0.0,35.1,32.8,59.5,27.3,2005
55,56,The Australian National University,1,30.2,17.7,12.9,36.9,29.0,45.1,27.8,2005
56,57,University of Copenhagen,1,30.0,30.7,24.7,23.6,22.8,45.7,27.7,2005
57,57,University of Florida,40,30.0,15.4,0.0,35.1,25.0,65.2,25.8,2005
58,57,University of Zurich,2,30.0,12.5,27.3,19.2,30.3,47.2,30.6,2005
59,60,Uppsala University,2,29.9,25.9,32.9,11.1,28.7,49.1,21.6,2005
60,61,University of Paris Sud (Paris 11),2,29.4,33.2,34.2,13.6,19.6,44.9,27.9,2005
61,62,Osaka University,3,29.3,12.5,0.0,23.6,31.1,66.8,29.2,2005
62,63,The Ohio State University - Columbus,41,29.2,17.7,0.0,40.8,21.5,61.2,19.5,2005
63,64,University of Bristol,7,28.8,10.9,18.2,30.4,24.5,47.5,27.4,2005
64,65,The University of Sheffield,8,28.6,23.5,14.4,23.6,29.2,46.6,27.1,2005
65,65,University of Rochester,42,28.6,33.2,9.1,27.2,25.3,43.0,36.1,2005
66,67,McGill University,3,28.4,28.8,0.0,28.3,23.6,56.8,30.0,2005
67,67,Moscow State University,1,28.4,51.4,34.9,0.0,7.5,54.0,31.6,2005
68,69,Case Western Reserve University,43,28.3,40.7,11.8,20.8,23.0,44.8,33.7,2005
69,69,University of Oslo,1,28.3,25.9,34.1,17.6,18.2,41.5,26.4,2005
70,71,University of Heidelberg,3,28.0,10.9,27.7,20.8,20.9,48.1,26.9,2005
71,72,Leiden University,2,27.9,25.1,15.8,27.2,19.3,46.7,28.1,2005
72,73,Tohoku University,4,27.8,18.8,0.0,19.2,26.9,65.3,29.0,2005
73,73,University of Arizona,44,27.8,0.0,0.0,29.4,36.8,55.8,25.7,2005
74,75,Purdue University - West Lafayette,45,27.7,18.8,17.1,27.2,21.4,49.8,19.4,2005
75,76,University of Helsinki,1,27.4,18.8,18.2,15.7,21.4,54.5,27.5,2005
76,77,Michigan State University,46,26.9,12.5,0.0,37.7,26.6,51.0,18.7,2005
77,78,Rice University,47,26.2,21.7,22.3,23.6,24.4,30.8,31.0,2005
78,78,The Hebrew University of Jerusalem,1,26.2,33.2,0.0,23.6,27.1,46.6,26.9,2005
79,80,Boston University,48,26.1,15.4,0.0,31.4,28.1,50.8,17.5,2005
80,80,King's College London,9,26.1,16.6,23.5,20.8,17.4,44.6,24.8,2005
81,82,University of Melbourne,2,26.0,15.4,14.4,22.2,18.7,53.5,19.9,2005
82,83,University of Nottingham,10,25.9,15.4,20.4,20.8,19.0,45.6,24.8,2005
83,84,University of Goettingen,4,25.8,38.7,20.4,15.7,17.5,40.2,24.5,2005
84,85,University of Vienna,1,25.6,25.1,15.8,7.9,22.7,52.2,26.4,2005
85,86,Brown University,49,25.4,0.0,13.9,29.4,25.5,40.7,27.9,2005
86,87,Indiana University Bloomington,50,25.2,14.0,18.2,24.8,21.2,42.0,18.2,2005
87,87,University of Basel,3,25.2,25.9,17.5,19.2,21.4,34.5,33.8,2005
88,89,Texas A&M University - College Station,51,25.1,0.0,0.0,32.4,24.4,55.0,20.4,2005
89,90,McMaster University,4,24.9,16.6,19.3,22.2,15.9,43.5,23.9,2005
90,90,University of Freiburg,5,24.9,25.1,21.4,17.6,18.2,39.5,23.2,2005
91,92,University of Strasbourg,3,24.7,29.4,22.9,19.2,19.5,32.7,22.4,2005
92,93,Ecole Normale Superieure - Paris,4,24.6,47.8,25.0,13.6,18.1,27.2,23.3,2005
93,93,Stockholm University,3,24.6,29.4,30.2,15.7,14.3,35.3,18.9,2005
94,93,Tokyo Institute of Technology,5,24.6,16.6,0.0,22.2,22.5,50.6,31.5,2005
95,93,University of Utah,52,24.6,0.0,0.0,30.4,31.4,45.5,24.8,2005
96,97,University of Roma - La Sapienza,1,24.5,16.6,15.8,11.1,21.8,54.6,15.1,2005
97,98,University of Birmingham,11,24.4,25.1,11.2,22.2,13.4,47.0,24.5,2005
98,99,Lund University,4,24.3,29.4,0.0,24.8,19.4,50.1,18.1,2005
99,100,Tufts University,53,23.9,18.8,17.1,20.8,19.1,37.4,25.2,2005
100,101-152,Aarhus University,2,,15.4,19.3,7.9,22.3,41.6,22.4,2005
101,101-152,Arizona State University - Tempe,54-71,,0.0,14.4,20.8,26.3,41.9,17.5,2005
102,101-152,Baylor College of Medicine,54-71,,0.0,0.0,17.6,34.5,44.0,24.9,2005
103,101-152,Catholic University of Leuven,1-4,,0.0,0.0,19.2,16.0,48.7,23.1,2005
104,101-152,Catholic University of Louvain,1-4,,14.0,13.9,13.6,8.3,44.7,26.9,2005
105,101-152,College of France,5,,15.4,37.4,11.1,11.7,16.9,19.3,2005
106,101-152,Dartmouth College,54-71,,24.3,0.0,20.8,22.0,33.0,29.1,2005
107,101-152,Emory University,54-71,,0.0,0.0,28.3,19.0,48.4,21.6,2005
108,101-152,Georgia Institute of Technology,54-71,,16.6,0.0,23.6,19.0,43.9,25.8,2005
